AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.06;0.64;0.0;0.58;1.92;0.0;0.26;0.0;0.78;0.0;0.65;0.0;0.25;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.03;0.02;0.74;0.0;0.64;2.15;0.0;0.25;0.0;0.83;0.0;0.7;0.0;0.33;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.03;0.0;0.78;0.0;0.65;2.28;0.0;0.21;0.0;0.87;0.0;0.69;0.0;0.41;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.03;0.0;0.75;0.0;0.67;2.24;0.0;0.17;0.0;0.91;0.0;0.65;0.0;0.43;0.0;0.0;0.04;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;0.0;0.72;0.0;0.69;2.28;0.0;0.1;0.0;0.95;0.0;0.6;0.0;0.48;0.0;0.0;0.14;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;0.0;0.74;0.0;0.75;2.4;0.0;0.08;0.03;1.07;0.0;0.57;0.0;0.5;0.0;0.0;0.17;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;0.0;0.87;0.0;0.82;2.44;0.0;0.14;0.09;1.2;0.0;0.55;0.0;0.52;0.0;0.0;0.19;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;0.0;0.96;0.0;0.86;2.63;0.0;0.22;0.15;1.37;0.0;0.53;0.0;0.57;0.0;0.0;0.22;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;0.0;1.03;0.0;0.94;2.66;0.0;0.27;0.21;1.47;0.0;0.51;0.0;0.59;0.0;0.0;0.24;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;0.0;1.09;0.0;1.05;2.92;0.0;0.31;0.28;1.55;0.0;0.47;0.0;0.61;0.0;0.0;0.4;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
