AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.69;0.0;1.88;0.0;0.82;2.68;0.23;3.02;0.59;1.18;0.06;0.31;0.32;0.0;1.22;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.72;0.0;1.95;0.03;0.95;2.63;0.25;3.26;0.64;1.23;0.04;0.45;0.31;0.0;1.31;0.08;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.79;0.0;1.99;0.05;1.04;2.53;0.26;3.39;0.67;1.28;0.02;0.54;0.34;0.0;1.37;0.13;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.8;0.0;1.98;0.11;1.06;2.39;0.25;3.42;0.7;1.3;0.01;0.54;0.3;0.0;1.48;0.18;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.75;0.0;1.92;0.11;1.07;2.42;0.22;3.43;0.74;1.41;0.01;0.5;0.27;0.0;1.53;0.14;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.69;0.0;1.81;0.09;1.06;2.5;0.22;3.43;0.78;1.48;0.01;0.5;0.13;0.0;1.56;0.15;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.7;0.0;1.75;0.04;1.05;2.36;0.16;3.39;0.81;1.44;0.01;0.36;0.11;0.0;1.56;0.07;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.8;0.04;1.71;0.01;1.05;2.46;0.14;3.36;0.8;1.45;0.07;0.36;0.07;0.0;1.53;0.06;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.83;0.06;1.75;0.0;1.04;2.4;0.11;3.32;0.77;1.41;0.08;0.28;0.11;0.0;1.54;0.04;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.88;0.08;1.73;0.04;1.06;2.57;0.1;3.35;0.73;1.4;0.08;0.37;0.08;0.0;1.52;0.09;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
