AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.0;0.05;0.0;0.65;1.36;0.0;0.31;1.88;1.19;0.0;1.54;0.15;0.18;0.0;0.14;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.09;0.07;0.02;0.0;0.75;1.55;0.0;0.49;1.94;1.2;0.0;1.56;0.17;0.07;0.0;0.09;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.09;0.09;0.0;0.0;0.8;1.56;0.0;0.6;2.0;1.2;0.0;1.55;0.11;0.04;0.0;0.09;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.09;0.09;0.03;0.0;0.8;1.53;0.0;0.67;2.03;1.2;0.0;1.52;0.05;0.06;0.0;0.15;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.03;0.02;0.06;0.0;0.83;1.45;0.0;0.67;2.04;1.16;0.0;1.51;0.04;0.05;0.0;0.15;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.08;0.02;0.12;0.0;0.86;1.46;0.0;0.72;2.02;1.21;0.0;1.56;0.04;0.04;0.0;0.14;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.14;0.07;0.17;0.0;0.9;1.58;0.0;0.73;2.01;1.3;0.0;1.58;0.09;0.06;0.0;0.1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.17;0.12;0.13;0.0;0.9;1.53;0.0;0.79;2.06;1.46;0.0;1.6;0.12;0.1;0.0;0.11;0.04;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.13;0.1;0.07;0.02;0.88;1.55;0.0;0.86;2.1;1.49;0.0;1.61;0.25;0.18;0.0;0.15;0.04;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.04;0.05;0.02;0.02;0.91;1.5;0.0;0.95;2.13;1.45;0.0;1.53;0.21;0.21;0.0;0.19;0.04;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.03;0.02;0.92;1.6;0.0;0.99;2.09;1.39;0.0;1.47;0.15;0.23;0.0;0.28;0.03;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.02;0.03;0.0;0.95;1.69;0.0;0.92;2.07;1.32;0.0;1.37;0.02;0.2;0.0;0.3;0.03;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.02;0.03;0.02;0.93;1.79;0.0;0.84;2.07;1.24;0.0;1.4;0.06;0.22;0.0;0.27;0.03;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.02;0.02;0.04;0.96;1.83;0.0;0.8;2.13;1.27;0.0;1.34;0.05;0.19;0.0;0.25;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.01;0.05;0.02;0.04;0.96;1.81;0.0;0.77;2.18;1.37;0.0;1.34;0.13;0.17;0.0;0.26;0.01;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.01;0.05;0.04;0.04;0.95;1.81;0.0;0.77;2.24;1.46;0.0;1.33;0.23;0.19;0.0;0.28;0.01;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.01;0.05;0.04;0.01;1.0;1.93;0.0;0.74;2.34;1.51;0.0;1.36;0.31;0.22;0.0;0.28;0.09;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.06;0.04;0.01;1.08;2.01;0.0;0.73;2.44;1.42;0.0;1.19;0.26;0.18;0.0;0.17;0.12;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.11;0.0;0.0;1.17;2.04;0.0;0.77;2.6;1.34;0.0;0.75;0.13;0.07;0.5;0.09;0.12;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.11;0.0;0.0;1.31;1.97;0.0;1.08;2.8;1.11;0.0;0.31;0.03;0.0;1.39;0.21;0.05;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
